video_id,channel,exploit_score_v2,sample_type,comment_text,comment_likes,category,confidence
ehktZnxWqqU,acefamily,0.40771866,high,The way she wakes up is the funniest thing ever😂😂💗,1803,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,Omg 😭😭😭😭😭Elle looked at Austin like who the heck are you boy,1952,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,catherine's concerned mother tendencies came out at 6:00... she popped her head up hella quick to see if she was okay. 😂😂😍,1312,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,Elle is like ohhh helll nawwww you looking like somebody auntie😂,1172,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,"I remember not wanting any kids with my wife, who did want them but she was ok with me choosing not to.

I saw this video and saw how cute the baby was and something just CLICKED in my head and I just started researching baby stuff. Like, I looked at why babies cry and what you could do to comfort them, when babies learn certain things, how it is good for both the father and mother to take care of the child but make sure one does not get mentally drained. I learned about post-partum depression. EVERYTHING. 

I just straight up told my wife I wanted to have a baby and she was crying tears of joy. 

Our child was born January 13th of this year",2617,normal,0.8
ehktZnxWqqU,acefamily,0.40771866,high,At 6:24 who saw Elle jump when Austin started laughing?,940,timestamp,0.9
ehktZnxWqqU,acefamily,0.40771866,high,Im laughing so hard when catherine's head just popped out to check on elle😂😂😂,519,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,2019 anybody? No just me ok.,1858,normal,0.7
ehktZnxWqqU,acefamily,0.40771866,high,WHEN HE STARTED LAUGHING ELLE JUMPED 😢😭😭😭💀💀 HE SCARED THE POOR BABY💕💕,438,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,i love how catherine checked on her every second,187,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,Elle kinda reminds me of Boo from Monsters Inc 😂❤,1885,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,Who else is binge watching Ace Family during quarantine.,488,normal,0.8
ehktZnxWqqU,acefamily,0.40771866,high,"POOR ELLE, JUST WATCH! SHE WILL GET HER REVENGE IN A FEW YEARS! 😂😂✔✔",1722,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,You should prank her with giving more attention to another fake baby and see how she reacts,2705,normal,0.8
ehktZnxWqqU,acefamily,0.40771866,high,I love the way Catherine looks at Austin,573,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,2020 anybody? Ok just me😭,608,normal,0.7
ehktZnxWqqU,acefamily,0.40771866,high,Elle makes me want to have kids one day. She’s so cute!😩,802,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,she is too adorable to get pranked​😍😍,2264,normal,0.9
ehktZnxWqqU,acefamily,0.40771866,high,2:47 3:03 5:27 Catherine's head coming up everytime😂😂,228,timestamp,0.95
ehktZnxWqqU,acefamily,0.40771866,high,6:26 when Elle jumped when Austin laughed I started dying!!!! 😂😂😂😂,276,timestamp,0.95
7OdHLFx0uR4,acefamily,0.39769363,high,omg Elle's helmet had me dying 😂😂,1693,normal,0.95
7OdHLFx0uR4,acefamily,0.39769363,high,"Elle is so smart to be pranked, she really knew that Santa is her dada.",567,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,I love when Catherine talks in Spanish to Elle. It’s the cutest,246,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,I didn’t realise how much I missed this house and the vlogs and baby elle 😭😭,259,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,Austin is the best dad ever and Catherine is a amazing mom😍😘,464,normal,0.95
7OdHLFx0uR4,acefamily,0.39769363,high,Austin is hella funny. Look like Santa but sound like the dam grinch 🤣🤣🤣😂,254,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,"Elle's so called ""helmet"" 😂😂😂😂😂😂😂😂😂😂😂😂",80,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,U should do that on Alaïa who's with me?,432,normal,0.7
7OdHLFx0uR4,acefamily,0.39769363,high,I didn't know santa cursed 😂😂,368,normal,0.85
7OdHLFx0uR4,acefamily,0.39769363,high,“Please be careful with my child”. “Always” AHHHHHH IM DONNE MY HEART 😭❤️❤️ I need a kid now,237,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,Catherine always saying “can you be careful with my child” to Austin 😂😂,76,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,5:00 HAHAHAHA When Austin laughed Elle got scared😂😂,123,timestamp,0.95
7OdHLFx0uR4,acefamily,0.39769363,high,Who else’s died laughing when Austin laughed with the Santa costume and Elle got scared and jumped back?😂😂😂😂,243,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,it's the sweetest thing when Elle starts freaking out if she thinks you guys are getting hurt 😭😭❣️❣️,42,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,"“I told them I was going to,um get in the bed with their daughter,as weird as that sounds”😂😂😂💓",29,normal,0.8
7OdHLFx0uR4,acefamily,0.39769363,high,Who is watching this in december 2018 and saw the new intro it lit...,227,normal,0.8
7OdHLFx0uR4,acefamily,0.39769363,high,austins santa voice is a cowboy with a lisp 😂,31,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,"I love how Elle was so concerned about Austin and Catherine when they went down the stairs, It was so cute.",115,normal,0.9
7OdHLFx0uR4,acefamily,0.39769363,high,That girl is too smart to be pranked!,260,normal,0.9
